"lakename","year4","daynum","sampledate","depth","depth_id","DIC_mg","doc","absorbance","tpc"
"West Long Lake",1996,185,1996-07-03,"Hypolimnion",7,NA,8.41,0.255,0.91
"East Long Lake",1996,186,1996-07-04,"Metalimnion",-2,NA,14.83,0.529,0.3
"East Long Lake",1996,186,1996-07-04,"Epilimnion",-1,NA,16.03,0.523,0.34
"East Long Lake",1996,186,1996-07-04,"Hypolimnion",7,NA,14.64,0.66,1.58
"Paul Lake",1996,190,1996-07-08,"Metalimnion",-2,NA,4.09,0.056,0.63
"Paul Lake",1996,190,1996-07-08,"Epilimnion",-1,NA,4.75,0.051,0.41
"Paul Lake",1996,190,1996-07-08,"Hypolimnion",7,NA,6.17,0.551,1.93
"Peter Lake",1996,191,1996-07-09,"Metalimnion",-2,NA,6.96,0.069,1.84
"Peter Lake",1996,191,1996-07-09,"Epilimnion",-1,NA,7.72,0.086,3.05
"Peter Lake",1996,191,1996-07-09,"Hypolimnion",7,NA,6.77,0.199,1.32
"West Long Lake",1996,192,1996-07-10,"Metalimnion",-2,NA,8.95,0.176,0.27
"West Long Lake",1996,192,1996-07-10,"Epilimnion",-1,NA,9.67,0.211,0.41
"West Long Lake",1996,192,1996-07-10,"Hypolimnion",7,NA,9.08,0.252,0.97
"East Long Lake",1996,193,1996-07-11,"Metalimnion",-2,NA,16.53,0.527,0.25
"East Long Lake",1996,193,1996-07-11,"Epilimnion",-1,NA,14.77,0.521,0.29
"East Long Lake",1996,193,1996-07-11,"Hypolimnion",7,NA,15.73,0.618,1.6
"Paul Lake",1996,197,1996-07-15,"Metalimnion",-2,NA,4.09,0.055,0.5
"Paul Lake",1996,197,1996-07-15,"Epilimnion",-1,NA,4.31,0.048,0.46
"Paul Lake",1996,197,1996-07-15,"Hypolimnion",7,NA,6.41,0.408,2.27
"Peter Lake",1996,198,1996-07-16,"Metalimnion",-2,NA,6.15,0.065,2.16
"Peter Lake",1996,198,1996-07-16,"Epilimnion",-1,NA,5.83,0.089,4.03
"Peter Lake",1996,198,1996-07-16,"Hypolimnion",7,NA,6.86,0.248,1.27
"West Long Lake",1996,199,1996-07-17,"Metalimnion",-2,NA,8.46,0.179,0.29
"West Long Lake",1996,199,1996-07-17,"Epilimnion",-1,NA,8.88,0.222,0.34
"West Long Lake",1996,199,1996-07-17,"Hypolimnion",7,NA,8.06,0.254,1
"East Long Lake",1996,200,1996-07-18,"Metalimnion",-2,NA,15.4,0.532,0.94
"East Long Lake",1996,200,1996-07-18,"Epilimnion",-1,NA,16.06,0.523,0.8
"East Long Lake",1996,200,1996-07-18,"Hypolimnion",7,NA,16.01,0.651,1.43
"Paul Lake",1996,204,1996-07-22,"Metalimnion",-2,NA,4.9,0.058,0.7
"Paul Lake",1996,204,1996-07-22,"Epilimnion",-1,NA,5,0.046,0.44
"Paul Lake",1996,204,1996-07-22,"Hypolimnion",7,NA,6.87,0.486,2.12
"Peter Lake",1996,205,1996-07-23,"Metalimnion",-2,NA,5.3,0.063,1.87
"Peter Lake",1996,205,1996-07-23,"Epilimnion",-1,NA,6.09,0.086,4.8
"Peter Lake",1996,205,1996-07-23,"Hypolimnion",7,NA,6.12,0.215,1.21
"West Long Lake",1996,206,1996-07-24,"Metalimnion",-2,NA,7.93,0.175,0.5
"West Long Lake",1996,206,1996-07-24,"Epilimnion",-1,NA,8.83,0.237,0.95
"West Long Lake",1996,206,1996-07-24,"Hypolimnion",7,NA,7.98,0.265,0.74
"East Long Lake",1996,207,1996-07-25,"Metalimnion",-2,NA,14.53,0.531,1.6
"East Long Lake",1996,207,1996-07-25,"Epilimnion",-1,NA,14.12,0.534,2.28
"East Long Lake",1996,207,1996-07-25,"Hypolimnion",7,NA,15.56,0.636,1.28
"Paul Lake",1996,211,1996-07-29,"Metalimnion",-2,NA,3.83,0.057,0.54
"Paul Lake",1996,211,1996-07-29,"Epilimnion",-1,NA,4.34,0.048,0.52
"Paul Lake",1996,211,1996-07-29,"Hypolimnion",7,NA,4.22,0.429,3.44
"Peter Lake",1996,212,1996-07-30,"Metalimnion",-2,NA,5.18,0.069,2.4
"Peter Lake",1996,212,1996-07-30,"Epilimnion",-1,NA,5.89,0.094,4.39
"Peter Lake",1996,212,1996-07-30,"Hypolimnion",7,NA,6.23,0.213,1.22
"West Long Lake",1996,213,1996-07-31,"Metalimnion",-2,NA,7.38,0.152,0.37
"West Long Lake",1996,213,1996-07-31,"Epilimnion",-1,NA,9.24,0.231,0.55
"West Long Lake",1996,213,1996-07-31,"Hypolimnion",7,NA,8.31,0.259,1
"East Long Lake",1996,214,1996-08-01,"Metalimnion",-2,NA,14.2,0.538,1.28
"East Long Lake",1996,214,1996-08-01,"Epilimnion",-1,NA,14.16,0.535,1.44
"East Long Lake",1996,214,1996-08-01,"Hypolimnion",7,NA,14.92,0.634,1.25
"Paul Lake",1996,218,1996-08-05,"Metalimnion",-2,NA,4.39,0.059,0.73
"Paul Lake",1996,218,1996-08-05,"Epilimnion",-1,NA,4.58,0.053,0.62
"Paul Lake",1996,218,1996-08-05,"Hypolimnion",7,NA,5.61,0.533,2.61
"Peter Lake",1996,219,1996-08-06,"Metalimnion",-2,NA,4.8,0.073,0.92
"Peter Lake",1996,219,1996-08-06,"Epilimnion",-1,NA,5.35,0.098,3.67
"Peter Lake",1996,219,1996-08-06,"Hypolimnion",7,NA,5.55,0.173,1.11
"West Long Lake",1996,220,1996-08-07,"Metalimnion",-2,NA,7.2,0.174,0.42
"West Long Lake",1996,220,1996-08-07,"Epilimnion",-1,NA,8.87,0.243,0.8
"West Long Lake",1996,220,1996-08-07,"Hypolimnion",7,NA,7.7,0.254,0.96
"East Long Lake",1996,221,1996-08-08,"Metalimnion",-2,NA,14.32,0.567,0.5
"East Long Lake",1996,221,1996-08-08,"Epilimnion",-1,NA,14.41,0.566,0.55
"East Long Lake",1996,221,1996-08-08,"Hypolimnion",7,NA,14.75,0.628,1.1
"Paul Lake",1996,225,1996-08-12,"Metalimnion",-2,NA,4.32,0.063,0.74
"Paul Lake",1996,225,1996-08-12,"Epilimnion",-1,NA,4.45,0.055,0.48
"Paul Lake",1996,225,1996-08-12,"Hypolimnion",7,NA,5.16,0.423,1.59
"Peter Lake",1996,226,1996-08-13,"Metalimnion",-2,NA,4.42,0.074,0.36
"Peter Lake",1996,226,1996-08-13,"Epilimnion",-1,NA,5.19,0.103,2.4
"Peter Lake",1996,226,1996-08-13,"Hypolimnion",7,NA,5.78,0.198,1.06
"West Long Lake",1996,227,1996-08-14,"Metalimnion",-2,NA,6.95,0.174,0.61
"West Long Lake",1996,227,1996-08-14,"Epilimnion",-1,NA,9.13,0.257,0.67
"West Long Lake",1996,227,1996-08-14,"Hypolimnion",7,NA,7.8,0.254,1.01
"East Long Lake",1996,228,1996-08-15,"Metalimnion",-2,NA,14.31,0.574,0.73
"East Long Lake",1996,228,1996-08-15,"Epilimnion",-1,NA,14.51,0.569,0.88
"East Long Lake",1996,228,1996-08-15,"Hypolimnion",7,NA,14.44,0.644,1.21
"Paul Lake",1996,232,1996-08-19,"Metalimnion",-2,NA,3.94,0.064,0.95
"Paul Lake",1996,232,1996-08-19,"Epilimnion",-1,NA,4.26,0.093,0.53
"Paul Lake",1996,232,1996-08-19,"Hypolimnion",7,NA,5.74,0.542,2.96
"Peter Lake",1996,233,1996-08-20,"Metalimnion",-2,NA,5,0.066,0.34
"Peter Lake",1996,233,1996-08-20,"Epilimnion",-1,NA,5.3,0.08,0.4
"Peter Lake",1996,233,1996-08-20,"Hypolimnion",7,NA,6.11,0.266,1.29
"West Long Lake",1996,234,1996-08-21,"Metalimnion",-2,NA,7.24,0.15,0.78
"West Long Lake",1996,234,1996-08-21,"Epilimnion",-1,NA,9.91,0.301,0.35
"West Long Lake",1996,234,1996-08-21,"Hypolimnion",7,NA,7.34,0.34,0.97
"East Long Lake",1996,235,1996-08-22,"Metalimnion",-2,NA,14.82,0.583,1.93
"East Long Lake",1996,235,1996-08-22,"Epilimnion",-1,NA,14.26,0.554,2.24
"East Long Lake",1996,235,1996-08-22,"Hypolimnion",7,NA,14.7,0.668,1.21
"Paul Lake",1996,239,1996-08-26,"Metalimnion",-2,NA,3.79,0.065,0.89
"Paul Lake",1996,239,1996-08-26,"Epilimnion",-1,NA,4.38,0.053,0.54
"Paul Lake",1996,239,1996-08-26,"Hypolimnion",7,NA,5.19,0.409,2.22
"Peter Lake",1996,240,1996-08-27,"Metalimnion",-2,NA,5.01,0.074,1.49
"Peter Lake",1996,240,1996-08-27,"Epilimnion",-1,NA,5.14,0.091,3.31
"Peter Lake",1996,240,1996-08-27,"Hypolimnion",7,NA,6.3,0.2,1.1
"West Long Lake",1996,241,1996-08-28,"Metalimnion",-2,NA,7.76,0.193,0.81
"West Long Lake",1996,241,1996-08-28,"Epilimnion",-1,NA,9.09,0.255,0.6
"West Long Lake",1996,241,1996-08-28,"Hypolimnion",7,NA,7.75,0.249,1
"East Long Lake",1996,242,1996-08-29,"Metalimnion",-2,NA,14.5,0.576,1.06
"East Long Lake",1996,242,1996-08-29,"Epilimnion",-1,NA,14.46,0.562,1.44
"East Long Lake",1996,242,1996-08-29,"Hypolimnion",7,NA,14.44,0.643,1.09
"Paul Lake",1996,246,1996-09-02,"Metalimnion",-2,NA,4.21,0.055,0.74
"Paul Lake",1996,246,1996-09-02,"Epilimnion",-1,NA,4.2,0.05,0.5
"Paul Lake",1996,246,1996-09-02,"Hypolimnion",7,NA,5.83,0.537,2.72
"Peter Lake",1996,247,1996-09-03,"Metalimnion",-2,NA,4.99,0.071,2.03
"Peter Lake",1996,247,1996-09-03,"Epilimnion",-1,NA,5.57,0.079,3.91
"Peter Lake",1996,247,1996-09-03,"Hypolimnion",7,NA,10.72,0.217,1.17
"West Long Lake",1996,248,1996-09-04,"Metalimnion",-2,NA,6.88,0.165,1.1
"West Long Lake",1996,248,1996-09-04,"Epilimnion",-1,NA,9.01,0.245,0.9
"West Long Lake",1996,248,1996-09-04,"Hypolimnion",7,NA,8.48,0.263,1.05
"East Long Lake",1996,249,1996-09-05,"Metalimnion",-2,NA,14.69,0.555,0.89
"East Long Lake",1996,249,1996-09-05,"Epilimnion",-1,NA,14.35,0.545,1.1
"East Long Lake",1996,249,1996-09-05,"Hypolimnion",7,NA,14.74,0.642,1.16
"Paul Lake",1997,146,1997-05-26,"Metalimnion",-2,NA,3.58,0.052,0.8
"Paul Lake",1997,146,1997-05-26,"Epilimnion",-1,NA,3.57,0.054,0.48
"Paul Lake",1997,146,1997-05-26,"Hypolimnion",7,NA,4.27,0.256,1.37
"Peter Lake",1997,147,1997-05-27,"Metalimnion",-2,NA,4.99,0.061,0.93
"Peter Lake",1997,147,1997-05-27,"Epilimnion",-1,NA,5.07,0.059,0.74
"Peter Lake",1997,147,1997-05-27,"Hypolimnion",7,NA,5.75,0.188,1.18
"West Long Lake",1997,148,1997-05-28,"Metalimnion",-2,NA,7.34,0.17,1.08
"West Long Lake",1997,148,1997-05-28,"Epilimnion",-1,NA,7.37,0.168,1.02
"West Long Lake",1997,148,1997-05-28,"Hypolimnion",7,NA,7.7,0.232,1.92
"East Long Lake",1997,149,1997-05-29,"Metalimnion",-2,NA,13.72,0.51,1.58
"East Long Lake",1997,149,1997-05-29,"Epilimnion",-1,NA,13.05,0.507,2.45
"East Long Lake",1997,149,1997-05-29,"Hypolimnion",7,NA,16.09,0.629,1.4
"Paul Lake",1997,153,1997-06-02,"Metalimnion",-2,NA,3.93,0.061,0.86
"Paul Lake",1997,153,1997-06-02,"Epilimnion",-1,NA,3.68,0.058,0.56
"Paul Lake",1997,153,1997-06-02,"Hypolimnion",7,NA,4.54,0.475,1.74
"Peter Lake",1997,154,1997-06-03,"Metalimnion",-2,NA,4.58,0.066,0.86
"Peter Lake",1997,154,1997-06-03,"Epilimnion",-1,NA,4.75,0.064,0.77
"Peter Lake",1997,154,1997-06-03,"Hypolimnion",7,NA,5.48,0.21,0.95
"West Long Lake",1997,155,1997-06-04,"Metalimnion",-2,NA,8.2,0.185,1.52
"West Long Lake",1997,155,1997-06-04,"Epilimnion",-1,NA,7.58,0.176,0.97
"West Long Lake",1997,155,1997-06-04,"Hypolimnion",7,NA,8.75,0.296,1.44
"East Long Lake",1997,156,1997-06-05,"Metalimnion",-2,NA,13.13,0.511,1.62
"East Long Lake",1997,156,1997-06-05,"Epilimnion",-1,NA,13.13,0.507,2.23
"East Long Lake",1997,156,1997-06-05,"Hypolimnion",7,NA,13.13,0.658,1.56
"Paul Lake",1997,160,1997-06-09,"Metalimnion",-2,NA,3.23,0.066,0.58
"Paul Lake",1997,160,1997-06-09,"Epilimnion",-1,NA,3.59,0.062,0.52
"Paul Lake",1997,160,1997-06-09,"Hypolimnion",7,NA,4.11,0.231,1.74
"Peter Lake",1997,161,1997-06-10,"Metalimnion",-2,NA,4.87,0.072,1.14
"Peter Lake",1997,161,1997-06-10,"Epilimnion",-1,NA,4.62,0.063,1.04
"Peter Lake",1997,161,1997-06-10,"Hypolimnion",7,NA,6.84,0.224,1.05
"West Long Lake",1997,162,1997-06-11,"Metalimnion",-2,NA,8.01,0.177,2.24
"West Long Lake",1997,162,1997-06-11,"Epilimnion",-1,NA,7.99,0.181,1.13
"West Long Lake",1997,162,1997-06-11,"Hypolimnion",7,NA,8.5,0.313,1.25
"East Long Lake",1997,163,1997-06-12,"Metalimnion",-2,NA,14.44,0.504,1.57
"East Long Lake",1997,163,1997-06-12,"Epilimnion",-1,NA,14.44,0.5,2.27
"East Long Lake",1997,163,1997-06-12,"Hypolimnion",7,NA,15.08,0.65,1.77
"Paul Lake",1997,167,1997-06-16,"Metalimnion",-2,NA,3.86,0.058,0.48
"Paul Lake",1997,167,1997-06-16,"Epilimnion",-1,NA,3.48,0.06,0.45
"Paul Lake",1997,167,1997-06-16,"Hypolimnion",7,NA,5,0.432,1.75
"Peter Lake",1997,168,1997-06-17,"Metalimnion",-2,NA,4.99,0.067,1.48
"Peter Lake",1997,168,1997-06-17,"Epilimnion",-1,NA,5.15,0.057,1.57
"Peter Lake",1997,168,1997-06-17,"Hypolimnion",7,NA,5.38,0.217,1.14
"West Long Lake",1997,169,1997-06-18,"Metalimnion",-2,NA,7.72,0.173,2
"West Long Lake",1997,169,1997-06-18,"Epilimnion",-1,NA,8.16,0.179,1.37
"West Long Lake",1997,169,1997-06-18,"Hypolimnion",7,NA,8.05,0.306,1.14
"East Long Lake",1997,170,1997-06-19,"Metalimnion",-2,NA,15.1,0.506,1.08
"East Long Lake",1997,170,1997-06-19,"Epilimnion",-1,NA,13.6,0.506,1.6
"East Long Lake",1997,170,1997-06-19,"Hypolimnion",7,NA,16.07,0.667,1.78
"Paul Lake",1997,174,1997-06-23,"Metalimnion",-2,NA,3.32,0.058,0.55
"Paul Lake",1997,174,1997-06-23,"Epilimnion",-1,NA,4.3,0.06,0.46
"Paul Lake",1997,174,1997-06-23,"Hypolimnion",7,NA,4.6,0.341,1.73
"Peter Lake",1997,175,1997-06-24,"Metalimnion",-2,NA,5.41,0.078,1.96
"Peter Lake",1997,175,1997-06-24,"Epilimnion",-1,NA,6.41,0.055,2.38
"Peter Lake",1997,175,1997-06-24,"Hypolimnion",7,NA,5.53,0.227,1.04
"West Long Lake",1997,176,1997-06-25,"Metalimnion",-2,NA,8.15,0.19,1.21
"West Long Lake",1997,176,1997-06-25,"Epilimnion",-1,NA,8.49,0.18,1.47
"West Long Lake",1997,176,1997-06-25,"Hypolimnion",7,NA,9.55,0.313,1.25
"East Long Lake",1997,177,1997-06-26,"Metalimnion",-2,NA,13.75,0.519,0.65
"East Long Lake",1997,177,1997-06-26,"Epilimnion",-1,NA,13.41,0.527,0.77
"East Long Lake",1997,177,1997-06-26,"Hypolimnion",7,NA,15.19,0.677,1.75
"Paul Lake",1997,181,1997-06-30,"Metalimnion",-2,NA,4.25,0.057,0.6
"Paul Lake",1997,181,1997-06-30,"Epilimnion",-1,NA,3.95,0.057,0.43
"Paul Lake",1997,181,1997-06-30,"Hypolimnion",7,NA,4.31,0.382,1.87
"Peter Lake",1997,182,1997-07-01,"Metalimnion",-2,NA,6.35,0.077,2.24
"Peter Lake",1997,182,1997-07-01,"Epilimnion",-1,NA,4.69,0.052,2.72
"Peter Lake",1997,182,1997-07-01,"Hypolimnion",7,NA,6.2,0.27,1.08
"West Long Lake",1997,183,1997-07-02,"Metalimnion",-2,NA,8.91,0.193,0.84
"West Long Lake",1997,183,1997-07-02,"Epilimnion",-1,NA,9.34,0.181,0.9
"West Long Lake",1997,183,1997-07-02,"Hypolimnion",7,NA,8.42,0.307,1.49
"East Long Lake",1997,184,1997-07-03,"Metalimnion",-2,NA,13.84,0.51,0.95
"East Long Lake",1997,184,1997-07-03,"Epilimnion",-1,NA,13.41,0.505,0.93
"East Long Lake",1997,184,1997-07-03,"Hypolimnion",7,NA,15.21,0.677,1.48
"Paul Lake",1997,188,1997-07-07,"Metalimnion",-2,NA,4,0.058,0.6
"Paul Lake",1997,188,1997-07-07,"Epilimnion",-1,NA,3.63,0.058,0.41
"Paul Lake",1997,188,1997-07-07,"Hypolimnion",7,NA,4.83,0.244,3.4
"Peter Lake",1997,189,1997-07-08,"Metalimnion",-2,NA,5.42,0.098,1.9
"Peter Lake",1997,189,1997-07-08,"Epilimnion",-1,NA,5.45,0.062,1.9
"Peter Lake",1997,189,1997-07-08,"Hypolimnion",7,NA,5.65,0.225,1.07
"West Long Lake",1997,190,1997-07-09,"Metalimnion",-2,NA,8.38,0.197,0.47
"West Long Lake",1997,190,1997-07-09,"Epilimnion",-1,NA,9.42,0.195,0.57
"West Long Lake",1997,190,1997-07-09,"Hypolimnion",7,NA,8.57,0.277,1.34
"East Long Lake",1997,191,1997-07-10,"Metalimnion",-2,NA,13.1,0.496,0.89
"East Long Lake",1997,191,1997-07-10,"Epilimnion",-1,NA,13.08,0.477,0.9
"East Long Lake",1997,191,1997-07-10,"Hypolimnion",7,NA,15.41,0.686,1.29
"Paul Lake",1997,195,1997-07-14,"Metalimnion",-2,NA,4.03,0.056,0.61
"Paul Lake",1997,195,1997-07-14,"Epilimnion",-1,NA,4.08,0.057,0.41
"Paul Lake",1997,195,1997-07-14,"Hypolimnion",7,NA,4.69,0.188,3.76
"Peter Lake",1997,196,1997-07-15,"Metalimnion",-2,NA,5.84,0.073,2.13
"Peter Lake",1997,196,1997-07-15,"Epilimnion",-1,NA,5.77,0.059,1.37
"Peter Lake",1997,196,1997-07-15,"Hypolimnion",7,NA,5.22,0.227,1.17
"West Long Lake",1997,197,1997-07-16,"Metalimnion",-2,NA,7.9,0.197,0.58
"West Long Lake",1997,197,1997-07-16,"Epilimnion",-1,NA,8.2,0.193,0.62
"West Long Lake",1997,197,1997-07-16,"Hypolimnion",7,NA,NA,0.302,NA
"East Long Lake",1997,198,1997-07-17,"Metalimnion",-2,NA,14.06,0.485,0.45
"East Long Lake",1997,198,1997-07-17,"Epilimnion",-1,NA,13.09,0.482,0.51
"East Long Lake",1997,198,1997-07-17,"Hypolimnion",7,NA,13.94,0.687,1.15
"Paul Lake",1997,202,1997-07-21,"Metalimnion",-2,NA,3.82,0.056,0.64
"Paul Lake",1997,202,1997-07-21,"Epilimnion",-1,NA,4.79,0.054,0.35
"Paul Lake",1997,202,1997-07-21,"Hypolimnion",7,NA,4.77,0.367,2.71
"Peter Lake",1997,203,1997-07-22,"Metalimnion",-2,NA,7.18,0.074,1.91
"Peter Lake",1997,203,1997-07-22,"Epilimnion",-1,NA,5.81,0.051,1.74
"Peter Lake",1997,203,1997-07-22,"Hypolimnion",7,NA,6.93,0.225,1.24
"West Long Lake",1997,204,1997-07-23,"Metalimnion",-2,NA,7.26,0.19,0.63
"West Long Lake",1997,204,1997-07-23,"Epilimnion",-1,NA,8.74,0.188,0.66
"West Long Lake",1997,204,1997-07-23,"Hypolimnion",7,NA,8.01,0.293,1.12
"East Long Lake",1997,205,1997-07-24,"Metalimnion",-2,NA,13.71,0.479,0.52
"East Long Lake",1997,205,1997-07-24,"Epilimnion",-1,NA,13.61,0.474,1.07
"East Long Lake",1997,205,1997-07-24,"Hypolimnion",7,NA,15.03,0.678,1.16
"Paul Lake",1997,209,1997-07-28,"Metalimnion",-2,NA,4.37,0.059,0.57
"Paul Lake",1997,209,1997-07-28,"Epilimnion",-1,NA,4.63,0.057,0.33
"Paul Lake",1997,209,1997-07-28,"Hypolimnion",7,NA,8.11,0.387,2.6
"Peter Lake",1997,210,1997-07-29,"Metalimnion",-2,NA,6.05,0.083,1.73
"Peter Lake",1997,210,1997-07-29,"Epilimnion",-1,NA,5.6,0.056,1.93
"Peter Lake",1997,210,1997-07-29,"Hypolimnion",7,NA,6.28,0.23,1.15
"West Long Lake",1997,211,1997-07-30,"Metalimnion",-2,NA,7.88,0.192,0.59
"West Long Lake",1997,211,1997-07-30,"Epilimnion",-1,NA,9.5,0.191,0.68
"West Long Lake",1997,211,1997-07-30,"Hypolimnion",7,NA,8.67,0.297,1.05
"East Long Lake",1997,212,1997-07-31,"Metalimnion",-2,NA,12.81,0.467,1.31
"East Long Lake",1997,212,1997-07-31,"Epilimnion",-1,NA,13.38,0.418,2.35
"East Long Lake",1997,212,1997-07-31,"Hypolimnion",7,NA,15.67,0.66,1.19
"Paul Lake",1997,216,1997-08-04,"Metalimnion",-2,NA,4.2,0.054,0.46
"Paul Lake",1997,216,1997-08-04,"Epilimnion",-1,NA,4.58,0.058,0.41
"Paul Lake",1997,216,1997-08-04,"Hypolimnion",7,NA,4.87,0.405,2.86
"Peter Lake",1997,217,1997-08-05,"Metalimnion",-2,NA,6.3,0.07,1.9
"Peter Lake",1997,217,1997-08-05,"Epilimnion",-1,NA,5.74,0.056,2.07
"Peter Lake",1997,217,1997-08-05,"Hypolimnion",7,NA,6.47,0.21,1.14
"West Long Lake",1997,218,1997-08-06,"Metalimnion",-2,NA,8.11,0.181,0.67
"West Long Lake",1997,218,1997-08-06,"Epilimnion",-1,NA,7.94,0.176,0.59
"West Long Lake",1997,218,1997-08-06,"Hypolimnion",7,NA,7.72,0.295,1.01
"East Long Lake",1997,219,1997-08-07,"Metalimnion",-2,NA,12.19,0.388,2.75
"East Long Lake",1997,219,1997-08-07,"Epilimnion",-1,NA,12.24,0.384,3.42
"East Long Lake",1997,219,1997-08-07,"Hypolimnion",7,NA,14.6,0.645,1.16
"Paul Lake",1997,223,1997-08-11,"Metalimnion",-2,NA,3.77,0.063,0.42
"Paul Lake",1997,223,1997-08-11,"Epilimnion",-1,NA,5.58,0.068,0.43
"Paul Lake",1997,223,1997-08-11,"Hypolimnion",7,NA,4.67,0.405,2.8
"Peter Lake",1997,224,1997-08-12,"Metalimnion",-2,NA,5.69,0.082,2.05
"Peter Lake",1997,224,1997-08-12,"Epilimnion",-1,NA,6.11,0.064,2.6
"Peter Lake",1997,224,1997-08-12,"Hypolimnion",7,NA,5.75,0.219,1.23
"West Long Lake",1997,225,1997-08-13,"Metalimnion",-2,NA,7.49,0.188,0.82
"West Long Lake",1997,225,1997-08-13,"Epilimnion",-1,NA,7.67,0.195,0.96
"West Long Lake",1997,225,1997-08-13,"Hypolimnion",7,NA,7.71,0.321,1.04
"East Long Lake",1997,226,1997-08-14,"Metalimnion",-2,NA,12.83,0.388,2.71
"East Long Lake",1997,226,1997-08-14,"Epilimnion",-1,NA,11.91,0.391,3.37
"East Long Lake",1997,226,1997-08-14,"Hypolimnion",7,NA,16.7,0.675,1.13
"Paul Lake",1997,230,1997-08-18,"Metalimnion",-2,NA,4.24,0.055,0.41
"Paul Lake",1997,230,1997-08-18,"Epilimnion",-1,NA,4.71,0.054,0.39
"Paul Lake",1997,230,1997-08-18,"Hypolimnion",7,NA,7.02,0.625,2.54
"Peter Lake",1997,231,1997-08-19,"Metalimnion",-2,NA,6.28,0.066,2.42
"Peter Lake",1997,231,1997-08-19,"Epilimnion",-1,NA,5.83,0.06,3.19
"Peter Lake",1997,231,1997-08-19,"Hypolimnion",7,NA,5.69,0.196,1.26
"West Long Lake",1997,232,1997-08-20,"Metalimnion",-2,NA,7.69,0.19,1
"West Long Lake",1997,232,1997-08-20,"Epilimnion",-1,NA,8.65,0.181,1.26
"West Long Lake",1997,232,1997-08-20,"Hypolimnion",7,NA,8.17,0.299,1.07
"East Long Lake",1997,233,1997-08-21,"Metalimnion",-2,NA,NA,0.397,NA
"East Long Lake",1997,233,1997-08-21,"Epilimnion",-1,NA,12.09,0.395,1.97
"East Long Lake",1997,233,1997-08-21,"Hypolimnion",7,NA,14.75,0.677,1.11
"Paul Lake",1997,237,1997-08-25,"Metalimnion",-2,NA,5.84,0.055,0.39
"Paul Lake",1997,237,1997-08-25,"Epilimnion",-1,NA,4.66,0.054,0.37
"Paul Lake",1997,237,1997-08-25,"Hypolimnion",7,NA,5.91,0.656,2.66
"Peter Lake",1997,238,1997-08-26,"Metalimnion",-2,NA,5.59,0.074,1.81
"Peter Lake",1997,238,1997-08-26,"Epilimnion",-1,NA,6.36,0.084,3.22
"Peter Lake",1997,238,1997-08-26,"Hypolimnion",7,NA,5.45,0.21,1.15
"West Long Lake",1997,239,1997-08-27,"Metalimnion",-2,NA,8.53,0.182,0.95
"West Long Lake",1997,239,1997-08-27,"Epilimnion",-1,NA,8.01,0.175,0.98
"West Long Lake",1997,239,1997-08-27,"Hypolimnion",7,NA,8.27,0.29,0.97
"East Long Lake",1997,240,1997-08-28,"Metalimnion",-2,NA,11.51,0.409,1.25
"East Long Lake",1997,240,1997-08-28,"Epilimnion",-1,NA,11.65,0.392,1.46
"East Long Lake",1997,240,1997-08-28,"Hypolimnion",7,NA,14.35,0.69,1.15
"Paul Lake",1997,244,1997-09-01,"Metalimnion",-2,NA,3.65,0.054,0.58
"Paul Lake",1997,244,1997-09-01,"Epilimnion",-1,NA,4.17,0.052,0.86
"Paul Lake",1997,244,1997-09-01,"Hypolimnion",7,NA,5.15,0.675,1.6
"Peter Lake",1997,245,1997-09-02,"Metalimnion",-2,NA,5.2,0.081,1.22
"Peter Lake",1997,245,1997-09-02,"Epilimnion",-1,NA,5.66,0.06,2.16
"Peter Lake",1997,245,1997-09-02,"Hypolimnion",7,NA,5.8,0.222,1.02
"West Long Lake",1997,246,1997-09-03,"Metalimnion",-2,NA,6.8,0.186,0.69
"West Long Lake",1997,246,1997-09-03,"Epilimnion",-1,NA,7.55,0.183,1.53
"West Long Lake",1997,246,1997-09-03,"Hypolimnion",7,NA,7.82,0.313,0.89
"East Long Lake",1997,247,1997-09-04,"Metalimnion",-2,NA,11.16,0.39,0.93
"East Long Lake",1997,247,1997-09-04,"Epilimnion",-1,NA,10.83,0.388,1.6
"East Long Lake",1997,247,1997-09-04,"Hypolimnion",7,NA,14.18,0.692,1.31
"Paul Lake",1998,145,1998-05-25,"Metalimnion",-2,NA,4.15,0.072,0.51
"Paul Lake",1998,145,1998-05-25,"Epilimnion",-1,NA,4.62,0.07,0.37
"Paul Lake",1998,145,1998-05-25,"Hypolimnion",7,NA,4.98,0.169,3.48
"Peter Lake",1998,146,1998-05-26,"Metalimnion",-2,NA,5.74,0.059,1.63
"Peter Lake",1998,146,1998-05-26,"Epilimnion",-1,NA,6.46,0.044,1.29
"Peter Lake",1998,146,1998-05-26,"Hypolimnion",7,NA,6.94,0.291,1.94
"West Long Lake",1998,147,1998-05-27,"Metalimnion",-2,NA,6.16,0.154,0.55
"West Long Lake",1998,147,1998-05-27,"Epilimnion",-1,NA,7.28,0.153,0.7
"West Long Lake",1998,147,1998-05-27,"Hypolimnion",7,NA,6.58,0.26,1.16
"East Long Lake",1998,148,1998-05-28,"Metalimnion",-2,NA,10.89,0.368,1.07
"East Long Lake",1998,148,1998-05-28,"Epilimnion",-1,NA,10.76,0.367,1.11
